Username,Profile URL,Latitude,Longitude,Google Maps,Tweet
cheryl303,https://twitter.com/cheryl303,40.01553645,-105.27765247,"https://maps.google.com/?q=40.01553645,-105.27765247","b""Not busy today, get out here and #lovethelocal #wearamask (@ Boulder Farmers' Market - @bcfmarkets in Boulder, CO)? https://t.co/UeoBDlXna9"""
brzimmerman,https://twitter.com/brzimmerman,40.02525382,-105.28124353,"https://maps.google.com/?q=40.02525382,-105.28124353",b'Fun new treats from Burgundy and Tuscany hitting the shelves today!  #allocatedwine @ Boulder Wine Merchant https://t.co/tsxHFsq5R4'
brzimmerman,https://twitter.com/brzimmerman,40.02525382,-105.28124353,"https://maps.google.com/?q=40.02525382,-105.28124353",b'Fun new treats from Burgundy and Tuscany hitting the shelves today!  #allocatedwine @ Boulder Wine Merchant https://t.co/tsxHFsq5R4'
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
------------------------------------------------------------------------
